country,region,year,industry,gas_type,emissions_mt
Indonesia,Asia,2020,Buildings,Ch4,1.777
Brazil,South America,2002,Waste,Hfcs,0.384
United Kingdom,Europe,2001,Waste,Hfcs,0.136
Australia,Oceania,2020,Industrial Processes,Hfcs,2.335
United States,North America,2008,Land Use,Co2,41.316
United Kingdom,Europe,2021,Manufacturing,Hfcs,3.555
Japan,Asia,2005,Waste,Co2,6.808
China,Asia,2014,Transport,Hfcs,92.813
Indonesia,Asia,2006,Industrial Processes,N2O,0.924
France,Europe,2005,Agriculture,Sf6,0.659
Canada,North America,2020,Land Use,Co2,5.408
Canada,North America,2020,Manufacturing,Ch4,6.601
France,Europe,2002,Waste,N2O,2.098
Australia,Oceania,2007,Waste,Hfcs,0.195
India,Asia,2001,Waste,Sf6,2.253
Russia,Europe,2006,Transport,Hfcs,11.795
China,Asia,2012,Transport,N2O,123.526
France,Europe,2002,Energy,N2O,4.841
South Korea,Asia,2005,Buildings,Hfcs,10.279
China,Asia,2011,Industrial Processes,Ch4,21.517
Indonesia,Asia,2004,Waste,N2O,8.579
South Africa,Africa,2012,Waste,N2O,4.533
South Africa,Africa,2020,Energy,Ch4,50.292
Indonesia,Asia,2001,Energy,N2O,15.199
Mexico,North America,2013,Industrial Processes,N2O,0.541
South Korea,Asia,2013,Waste,Sf6,0.238
China,Asia,2021,Buildings,N2O,123.526
United States,North America,2017,Manufacturing,Co2,123.526
Germany,Europe,2008,Agriculture,Co2,5.809
United States,North America,2013,Industrial Processes,Ch4,2.695
United States,North America,2009,Energy,Hfcs,47.239
Canada,North America,2018,Manufacturing,Hfcs,6.552
Indonesia,Asia,2016,Waste,Hfcs,0.595
Australia,Oceania,2010,Manufacturing,Sf6,2.429
Indonesia,Asia,2001,Manufacturing,Ch4,6.714
Germany,Europe,2010,Energy,Sf6,3.867
South Africa,Africa,2018,Waste,Ch4,15.649
South Korea,Asia,2020,Manufacturing,Co2,123.526
Australia,Oceania,2015,Transport,Ch4,4.629
Canada,North America,2021,Waste,Hfcs,0.282
United States,North America,2014,Waste,N2O,28.374
Indonesia,Asia,2017,Manufacturing,N2O,10.023
Australia,Oceania,2013,Energy,Sf6,4.407
United States,North America,2015,Energy,N2O,86.271
Japan,Asia,2001,Buildings,Ch4,18.661
France,Europe,2014,Transport,Sf6,1.032
United Kingdom,Europe,2021,Buildings,Sf6,0.442
Germany,Europe,2019,Buildings,N2O,7.199
Germany,Europe,2003,Buildings,Sf6,1.108
Indonesia,Asia,2004,Industrial Processes,N2O,0.911
United States,North America,2002,Industrial Processes,Hfcs,14.039
Brazil,South America,2011,Buildings,Co2,6.176
China,Asia,2018,Agriculture,N2O,123.526
United Kingdom,Europe,2019,Energy,N2O,4.637
United States,North America,2020,Transport,Sf6,12.563
United States,North America,2007,Agriculture,Hfcs,18.925
Russia,Europe,2008,Transport,N2O,28.421
United Kingdom,Europe,2021,Manufacturing,Ch4,3.697
China,Asia,2013,Buildings,N2O,117.426
India,Asia,2004,Industrial Processes,Sf6,12.786
,Asia,2022,Buildings,Hfcs,7.128
Brazil,South America,2010,Manufacturing,Sf6,3.312
Russia,Europe,2008,Transport,Ch4,14.452
India,Asia,2005,Energy,N2O,62.546
Indonesia,Asia,2016,Agriculture,Ch4,123.526
South Africa,Africa,2005,Manufacturing,N2O,6.773
Japan,Asia,2002,Buildings,Ch4,17.525
Russia,Europe,2001,Manufacturing,Co2,123.526
Indonesia,Asia,2007,Transport,N2O,10.593
South Africa,Africa,2011,Buildings,Co2,11.692
United Kingdom,Europe,2009,Industrial Processes,Co2,1.602
Japan,Asia,2019,Industrial Processes,Co2,4.278
Russia,Europe,2002,Land Use,Ch4,8.334
Indonesia,Asia,2000,Land Use,N2O,58.798
United Kingdom,Europe,2005,Agriculture,Hfcs,1.656
Russia,Europe,2013,Energy,Sf6,17.998
China,Asia,2002,Manufacturing,Sf6,123.526
France,Europe,2016,Manufacturing,Hfcs,1.553
China,Asia,2004,Transport,Hfcs,65.034
United States,North America,2009,Land Use,Co2,43.638
Mexico,North America,2013,Waste,Ch4,15.182
China,Asia,2018,Waste,Sf6,10.33
United Kingdom,Europe,2019,Manufacturing,N2O,3.902
France,Europe,2011,Land Use,N2O,1.188
Mexico,North America,2002,Waste,Sf6,0.253
United Kingdom,Europe,2023,Industrial Processes,Hfcs,0.609
Australia,Oceania,2018,Land Use,Hfcs,0.645
United Kingdom,Europe,2018,Manufacturing,N2O,3.941
Australia,Oceania,2014,Manufacturing,Ch4,5.172
Mexico,North America,2022,Agriculture,N2O,23.157
Canada,North America,2021,Energy,Hfcs,7.632
United Kingdom,Europe,2006,Waste,Sf6,0.11
South Africa,Africa,2014,Energy,Sf6,5.171
China,Asia,2011,Waste,Hfcs,7.357
South Korea,Asia,2009,Industrial Processes,Sf6,2.091
Canada,North America,2020,Energy,Sf6,4.314
Canada,North America,2002,Manufacturing,Hfcs,7.852
South Africa,Africa,2003,Agriculture,Co2,6.434
Canada,North America,2010,Industrial Processes,Sf6,2.168
Russia,Europe,2008,Transport,Hfcs,10.828
South Africa,Africa,2016,Energy,Sf6,4.741
South Korea,Asia,2015,Buildings,Co2,51.008
South Korea,Asia,2009,Transport,N2O,10.339
Canada,North America,2017,,Sf6,7.128
Germany,Europe,2006,Buildings,Ch4,14.707
India,Asia,2012,Agriculture,N2O,123.526
India,Asia,2005,Transport,Hfcs,24.701
South Africa,Africa,2001,Manufacturing,Co2,43.027
United States,North America,2011,Agriculture,Ch4,123.526
Brazil,South America,2000,Agriculture,Hfcs,11.869
India,Asia,2009,Industrial Processes,Sf6,13.26
United Kingdom,Europe,2006,Energy,Ch4,23.351
United Kingdom,Europe,2000,Manufacturing,Hfcs,6.524
Australia,Oceania,2004,Waste,Ch4,12.387
South Korea,Asia,2009,Land Use,N2O,2.536
France,Europe,2000,Energy,Ch4,21.638
Germany,Europe,2018,Buildings,Co2,49.961
South Korea,Asia,2013,Industrial Processes,Sf6,2.235
France,Europe,2019,Manufacturing,N2O,1.411
Mexico,North America,2017,Transport,Co2,101.309
Russia,Europe,2005,Transport,N2O,25.444
Japan,Asia,2011,Waste,N2O,5.646
Russia,Europe,2001,Manufacturing,N2O,36.373
China,Asia,2008,Industrial Processes,N2O,41.621
Mexico,North America,2001,Transport,Co2,94.447
,Asia,2021,Energy,Co2,7.128
Germany,Europe,2019,Land Use,Co2,2.047
China,Asia,2006,Land Use,Hfcs,21.584
Russia,Europe,2003,Energy,Co2,123.526
Brazil,South America,2020,Industrial Processes,Co2,4.256
South Africa,Africa,2013,Land Use,Sf6,0.108
,Europe,2020,Waste,Co2,7.128
South Africa,Africa,2002,Manufacturing,N2O,7.113
Russia,Europe,2023,Industrial Processes,Hfcs,4.99
Canada,North America,2010,Land Use,Co2,5.953
Russia,Europe,2003,Manufacturing,Co2,123.526
Indonesia,Asia,2012,Land Use,N2O,78.411
Russia,Europe,2015,Buildings,Ch4,21.047
United States,North America,2010,Transport,Hfcs,57.66
Canada,North America,2003,Agriculture,Hfcs,3.088
Canada,North America,2022,Agriculture,Sf6,0.644
Germany,Europe,2011,Waste,Hfcs,0.27
Japan,Asia,2014,Agriculture,Ch4,21.749
United Kingdom,Europe,2017,Transport,Sf6,0.717
France,Europe,2002,Manufacturing,Ch4,2.003
Germany,Europe,2019,Industrial Processes,Hfcs,2.835
India,Asia,2019,Land Use,Sf6,1.858
China,Asia,2020,Waste,Hfcs,10.576
France,Europe,2022,Manufacturing,Co2,8.569
Germany,Europe,2002,Agriculture,Ch4,36.092
United Kingdom,Europe,2016,Agriculture,N2O,8.341
Brazil,South America,2002,Energy,Hfcs,4.556
United Kingdom,Europe,2002,,Ch4,7.128
China,Asia,2000,Manufacturing,Sf6,120.825
South Africa,Africa,2018,Manufacturing,Co2,50.66
Japan,Asia,2022,Industrial Processes,Sf6,1.302
France,Europe,2022,Waste,N2O,1.566
South Korea,Asia,2006,Land Use,Hfcs,0.264
Brazil,South America,2011,Agriculture,Co2,29.457
Germany,Europe,2000,Buildings,Co2,70.583
China,Asia,2009,Waste,N2O,114.198
Indonesia,Asia,2006,Manufacturing,Ch4,6.98
France,Europe,2000,Manufacturing,Co2,14.526
South Korea,Asia,2009,Transport,Sf6,1.053
United States,North America,2014,Agriculture,Sf6,4.626
Germany,Europe,2007,Energy,Hfcs,5.633
Mexico,North America,2001,Manufacturing,Co2,44.683
India,Asia,2012,Industrial Processes,Sf6,14.988
United Kingdom,Europe,2022,Buildings,Sf6,0.459
United States,North America,2006,Manufacturing,N2O,69.744
United Kingdom,Europe,2000,Land Use,Sf6,0.1
South Africa,Africa,2002,Manufacturing,Ch4,6.651
Mexico,North America,2004,Buildings,Sf6,0.446
India,Asia,2014,Energy,Hfcs,44.915
United States,North America,2004,Energy,Ch4,123.526
India,Asia,2009,Transport,Ch4,33.756
Canada,North America,2010,Agriculture,Sf6,0.712
Mexico,North America,2007,Waste,Co2,5.392
,Asia,2016,Buildings,Hfcs,7.128
Canada,North America,2012,Transport,Co2,123.526
France,Europe,2004,Transport,N2O,11.634
United Kingdom,Europe,2000,Transport,Co2,97.702
Indonesia,Asia,2000,Transport,Sf6,0.989
France,Europe,2005,Energy,Ch4,18.138
Indonesia,Asia,2016,Industrial Processes,Co2,5.301
Mexico,North America,2011,Waste,Sf6,0.25
Brazil,South America,2005,Waste,N2O,7.21
Germany,Europe,2000,Energy,Sf6,4.54
Mexico,North America,2001,Industrial Processes,N2O,0.495
Indonesia,Asia,2022,Manufacturing,Ch4,10.334
India,Asia,2013,Land Use,Ch4,35.281
Canada,North America,2020,Buildings,Ch4,12.591
Mexico,North America,2017,Energy,N2O,8.586
South Africa,Africa,2008,Manufacturing,Co2,48.641
Australia,Oceania,2000,Land Use,Sf6,0.139
Australia,Oceania,2014,Agriculture,N2O,22.96
Canada,North America,2000,Industrial Processes,Ch4,0.79
United States,North America,2013,Agriculture,Ch4,123.526
Brazil,South America,2008,Land Use,Hfcs,9.661
Germany,Europe,2009,Energy,N2O,8.841
France,Europe,2022,Agriculture,N2O,14.053
Germany,Europe,2012,Manufacturing,Hfcs,12.321
France,Europe,2012,Agriculture,N2O,18.689
South Africa,Africa,2012,Transport,Sf6,0.62
South Africa,Africa,2012,Industrial Processes,Co2,2.369
Indonesia,Asia,2006,Buildings,N2O,0.96
Brazil,South America,2004,Buildings,N2O,0.858
Mexico,North America,2022,Manufacturing,Co2,54.953
Germany,Europe,2014,Agriculture,Ch4,27.477
United Kingdom,Europe,2001,Manufacturing,Sf6,3.227
China,Asia,2022,Buildings,N2O,123.526
Australia,Oceania,2000,Agriculture,Sf6,0.784
South Korea,Asia,2011,Energy,Ch4,54.702
France,Europe,2001,Energy,Ch4,18.873
Mexico,North America,2003,Waste,Hfcs,0.25
China,Asia,2005,Manufacturing,Hfcs,123.526
Germany,Europe,2021,Waste,Hfcs,0.229
South Africa,Africa,2021,Buildings,Co2,12.57
South Africa,Africa,2021,Manufacturing,Hfcs,7.762
Brazil,South America,2007,Agriculture,Hfcs,11.226
China,Asia,2018,Manufacturing,Ch4,123.526
South Africa,Africa,2000,Energy,Hfcs,7.194
China,Asia,2008,Transport,N2O,123.526
United States,North America,2001,Agriculture,Co2,51.075
South Africa,Africa,2001,Waste,Ch4,14.592
United States,North America,2014,Agriculture,Hfcs,18.082
Australia,Oceania,2005,Transport,Ch4,4.86
Mexico,North America,2007,Industrial Processes,N2O,0.513
United States,North America,2020,Industrial Processes,Sf6,6.311
Canada,North America,2004,Waste,Ch4,16.883
United Kingdom,Europe,2022,Buildings,N2O,4.551
Brazil,South America,2002,Buildings,Co2,5.448
Indonesia,Asia,2004,Industrial Processes,Ch4,0.412
Japan,Asia,2002,Buildings,N2O,11.008
South Africa,Africa,2011,Buildings,Sf6,0.203
Canada,North America,2013,Manufacturing,Hfcs,7.275
France,Europe,2021,Energy,Hfcs,2.121
United Kingdom,Europe,2013,Land Use,Hfcs,0.12
Russia,Europe,2016,Waste,Ch4,32.02
Canada,North America,2001,Manufacturing,,7.128
Japan,Asia,2015,Buildings,Ch4,14.561
Indonesia,Asia,2020,Waste,N2O,11.481
Mexico,North America,2017,Land Use,Co2,7.19
China,Asia,2001,Transport,N2O,123.526
Indonesia,Asia,2018,Industrial Processes,Sf6,1.838
China,Asia,2022,Waste,,7.128
,Europe,2012,Industrial Processes,Sf6,7.128
Australia,Oceania,2003,Energy,Ch4,41.344
Brazil,South America,2020,Energy,N2O,8.387
India,Asia,2021,Industrial Processes,Hfcs,40.367
Canada,North America,2006,Land Use,Ch4,2.79
China,Asia,2015,Transport,Hfcs,108.116
South Korea,Asia,2004,Waste,Co2,4.453
Germany,Europe,2023,Land Use,Ch4,1.078
Russia,Europe,2010,Manufacturing,Co2,123.526
Indonesia,Asia,2023,Agriculture,Ch4,123.526
Australia,Oceania,2022,Manufacturing,Hfcs,4.835
India,Asia,2022,Buildings,Co2,123.526
Mexico,North America,2005,Industrial Processes,Hfcs,1.304
France,Europe,2000,Transport,Sf6,1.278
United States,North America,2012,Transport,Sf6,15.328
Indonesia,Asia,2011,Agriculture,Sf6,1.786
China,Asia,2004,Waste,Hfcs,5.877
Russia,Europe,2011,Land Use,Ch4,7.647
South Africa,Africa,2004,Industrial Processes,,7.128
South Korea,Asia,2018,Energy,Hfcs,8.977
France,Europe,2023,Energy,N2O,3.35
Mexico,North America,2013,Land Use,Hfcs,0.618
India,Asia,2003,Agriculture,Sf6,8.196
France,Europe,2002,Buildings,Ch4,10.145
South Africa,Africa,2001,Transport,Co2,49.952
United States,North America,2007,Buildings,,7.128
South Korea,Asia,2015,Manufacturing,Hfcs,21.037
Canada,North America,2000,Land Use,Co2,5.796
Canada,North America,2014,Energy,Sf6,4.665
,South America,2003,Land Use,N2O,7.128
Australia,Oceania,2020,Buildings,Sf6,0.356
,South America,2008,Transport,Ch4,7.128
United States,North America,2002,Buildings,Ch4,123.526
France,Europe,2007,Buildings,Co2,42.817
Russia,Europe,2004,Transport,Co2,123.526
France,Europe,2015,Agriculture,N2O,18.497
India,Asia,2006,Buildings,Hfcs,52.51
Canada,North America,2019,Industrial Processes,Hfcs,3.566
Indonesia,Asia,2016,Buildings,Co2,6.872
China,Asia,2009,Agriculture,Hfcs,55.084
Indonesia,Asia,2009,Waste,Ch4,29.436
South Korea,Asia,2001,Transport,Sf6,1.063
China,Asia,2022,Energy,Sf6,123.526
Russia,Europe,2002,Industrial Processes,Ch4,0.94
South Korea,Asia,2023,Waste,N2O,5.23
Australia,Oceania,2009,Industrial Processes,Ch4,0.448
South Africa,Africa,2006,Energy,Sf6,4.968
South Africa,Africa,2017,Waste,Co2,5.339
United Kingdom,Europe,2012,Transport,N2O,8.21
Indonesia,Asia,2018,Waste,Sf6,0.586
Indonesia,Asia,2003,Land Use,N2O,57.729
China,Asia,2007,Transport,Ch4,98.152
United States,North America,2013,Energy,N2O,84.842
Germany,Europe,2015,Energy,N2O,8.472
India,Asia,2012,Transport,Ch4,36.219
United States,North America,2002,Agriculture,Hfcs,22.182
United Kingdom,Europe,2014,Agriculture,Co2,3.167
France,Europe,2010,Manufacturing,Ch4,1.874
South Korea,Asia,2016,Land Use,Ch4,1.531
South Africa,Africa,2014,Agriculture,Sf6,0.694
Indonesia,Asia,2011,Land Use,Ch4,39.673
Germany,Europe,2002,Energy,Ch4,45.363
Mexico,North America,2005,Agriculture,N2O,21.239
South Africa,Africa,2003,Agriculture,N2O,21.883
Russia,Europe,2012,Transport,Ch4,13.125
Brazil,South America,2000,Land Use,N2O,84.615
South Africa,Africa,2012,Industrial Processes,Sf6,0.746
Brazil,South America,2023,Agriculture,Co2,33.936
Japan,Asia,2006,Buildings,Ch4,17.874
Mexico,North America,2014,Agriculture,Sf6,0.716
Indonesia,Asia,2004,Energy,Sf6,6.624
India,Asia,2013,Energy,N2O,79.845
Indonesia,Asia,2004,Transport,Sf6,1.086
France,Europe,2005,Industrial Processes,Hfcs,0.999
United States,North America,2015,Manufacturing,Co2,123.526
Russia,Europe,2014,Buildings,Ch4,19.027
United States,North America,2009,Industrial Processes,Hfcs,12.421
Japan,Asia,2017,Waste,Hfcs,0.282
China,Asia,2000,Waste,N2O,90.205
Brazil,South America,2015,Waste,Sf6,0.41
Russia,Europe,2012,Transport,Sf6,2.785
France,Europe,2000,Manufacturing,N2O,2.235
Indonesia,Asia,2023,Land Use,Sf6,2.905
Brazil,South America,2003,Energy,Hfcs,5.372
United States,North America,2001,Industrial Processes,Sf6,8.647
Germany,Europe,2011,Buildings,Hfcs,12.729
France,Europe,2013,Transport,N2O,10.045
Japan,Asia,2004,Buildings,Sf6,1.153
South Korea,Asia,2018,Industrial Processes,N2O,1.57
Russia,Europe,2003,Agriculture,Ch4,105.309
Indonesia,Asia,2001,Transport,Co2,75.74
Russia,Europe,2011,Industrial Processes,Co2,8.118
Australia,Oceania,2002,Industrial Processes,Sf6,1.504
Russia,Europe,2010,Agriculture,,7.128
Germany,Europe,2001,Manufacturing,Hfcs,15.781
Japan,Asia,2001,Agriculture,Ch4,25.589
China,Asia,2018,Manufacturing,Co2,123.526
India,Asia,2017,Buildings,N2O,55.934
South Africa,Africa,2013,Energy,Co2,123.526
Indonesia,Asia,2019,Land Use,Co2,104.188
,Asia,2007,Manufacturing,Hfcs,7.128
Germany,Europe,2013,Buildings,N2O,8.715
China,Asia,2009,Waste,Co2,123.526
Russia,Europe,2003,Industrial Processes,Co2,8.6
Germany,Europe,2022,Waste,Ch4,11.7
Japan,Asia,2021,Transport,Ch4,8.952
China,Asia,2007,Land Use,Ch4,98.174
,Asia,2007,Buildings,N2O,7.128
Australia,Oceania,2003,Buildings,Ch4,5.584
Russia,Europe,2012,Manufacturing,Hfcs,32.438
China,Asia,2023,Transport,N2O,123.526
Canada,North America,2008,Waste,Co2,5.857
United Kingdom,Europe,2002,Manufacturing,Ch4,5.731
Indonesia,Asia,2001,Transport,,7.128
Brazil,South America,2018,Energy,N2O,9.533
Indonesia,Asia,2013,Waste,N2O,10.683
United Kingdom,Europe,2019,Land Use,Hfcs,0.112
France,Europe,2003,Agriculture,Co2,7.417
Brazil,South America,2014,Waste,N2O,7.801
Germany,Europe,2004,Agriculture,Hfcs,2.526
Canada,North America,2007,Energy,Ch4,48.149
Australia,Oceania,2001,Waste,Sf6,0.208
Indonesia,Asia,2002,Energy,Hfcs,9.257
Canada,North America,2014,Waste,Ch4,17.674
Russia,Europe,2012,Waste,N2O,10.513
France,Europe,2011,Waste,Hfcs,0.109
China,Asia,2008,Land Use,,7.128
South Korea,Asia,2007,Transport,Co2,85.41
United Kingdom,Europe,2014,Buildings,Sf6,0.583
Australia,Oceania,2002,Land Use,Hfcs,0.571
India,Asia,2004,Transport,N2O,57.639
Brazil,South America,2021,Agriculture,Ch4,123.526
United States,North America,2023,Transport,Sf6,14.382
United Kingdom,Europe,2020,Buildings,Co2,24.44
India,Asia,2002,Manufacturing,Sf6,34.628
United States,North America,2013,Agriculture,Hfcs,17.66
China,Asia,2000,Agriculture,Sf6,9.491
Japan,Asia,2014,Manufacturing,Ch4,22.568
United Kingdom,Europe,2023,Buildings,Co2,24.018
China,Asia,2013,Agriculture,Hfcs,67.194
