country,region,year,industry,gas_type,emissions_mt
United Kingdom,Europe,2021,Manufacturing,HFCs,3.555
Japan,Asia,2005,Waste,CO2,6.808
China,Asia,2014,Transport,HFCs,
Indonesia,Asia,2006,Industrial Processes,N2O,0.924
France,Europe,2005,Agriculture,SF6,0.659
Canada,North America,2020,Land Use,CO2,5.408
Canada,North America,2020,Manufacturing,CH4,6.601
France,Europe,2002,Waste,N2O,2.098
Australia,Oceania,2007,Waste,HFCs,0.195
India,Asia,2001,Waste,SF6,2.253
Russia,Europe,2006,Transport,HFCs,11.795
China,Asia,2012,Transport,N2O,231.738
France,Europe,2002,Energy,N2O,4.841
South Korea,Asia,2005,Buildings,HFCs,10.279
China,Asia,2011,Industrial Processes,CH4,21.517
Indonesia,Asia,2004,Waste,N2O,8.579
South Africa,Africa,2012,Waste,N2O,4.533
South Africa,Africa,2020,Energy,CH4,50.292
India,Asia,2001,Waste,SF6,2.253
Indonesia,Asia,2001,Energy,N2O,15.199
Mexico,North America,2013,Industrial Processes,N2O,0.541
South Korea,Asia,2013,Waste,SF6,0.238
China,Asia,2021,Buildings,N2O,190.333
United States,North America,2017,Manufacturing,CO2,422.078
Germany,Europe,2008,Agriculture,CO2,5.809
United States,North America,2013,Industrial Processes,CH4,2.695
United States,North America,2009,Energy,HFCs,47.239
Canada,North America,2018,Manufacturing,HFCs,6.552
Indonesia,Asia,2016,Waste,HFCs,0.595
Australia,Oceania,2010.0,Manufacturing,SF6,2.429
Indonesia,Asia,2001,Manufacturing,CH4,6.714
Germany,Europe,2010,Energy,SF6,3.867
South Africa,Africa,2018,Waste,CH4,15.649
South Korea,Asia,2020,Manufacturing,CO2,159.512
Australia,Oceania,2015,Transport,CH4,4.629
Canada,North America,2021,Waste,HFCs,0.282
United States,North America,2014,Waste,N2O,28.374
Indonesia,Asia,2017,Manufacturing,N2O,10.023
Australia,Oceania,2013,Energy,SF6,4.407
United States,North America,2015,Energy,N2O,86.271
Japan,Asia,2001,Buildings,CH4,18.661
France,Europe,2014,Transport,SF6,1.032
United Kingdom,Europe,2021,Buildings,SF6,0.442
Germany,Europe,2019,Buildings,N2O,7.199
Germany,Europe,2003,Buildings,SF6,1.108
Indonesia,Asia,2004,Industrial Processes,N2O,0.911
United States,North America,2002,Industrial Processes,HFCs,14.039
Brazil,South America,2011,Buildings,CO2,6.176
China,Asia,2018,Agriculture,N2O,623.809
United Kingdom,Europe,2019,Energy,N2O,
United States,North America,2020,Transport,SF6,12.563
United States,North America,2007,Agriculture,HFCs,18.925
Russia,Europe,2008,Transport,N2O,28.421
United Kingdom,Europe,2021,Manufacturing,CH4,3.697
China,Asia,2013,Buildings,N2O,
India,Asia,2004,Industrial Processes,SF6,12.786
,Asia,2022,Buildings,HFCs,268.958
Brazil,South America,2010,Manufacturing,SF6,3.312
Russia,Europe,2008,Transport,CH4,14.452
India,Asia,2005,Energy,N2O,62.546
Indonesia,Asia,2016,Agriculture,CH4,124.71
South Africa,Africa,2005,Manufacturing,N2O,6.773
Japan,Asia,2002,Buildings,CH4,17.525
Russia,Europe,2001,Manufacturing,CO2,220.88
Indonesia,Asia,2007,Transport,N2O,10.593
South Africa,Africa,2011,Buildings,CO2,11.692
United Kingdom,Europe,2009,Industrial Processes,CO2,1.602
Japan,Asia,2019,Industrial Processes,CO2,4.278
Russia,Europe,2002,Land Use,CH4,8.334
Indonesia,Asia,2000,Land Use,N2O,58.798
United Kingdom,Europe,2005,Agriculture,HFCs,1.656
Russia,Europe,2013,Energy,SF6,17.998
China,Asia,2002,Manufacturing,SF6,126.718
France,Europe,2016,Manufacturing,HFCs,1.553
China,Asia,2004,Transport,HFCs,65.034
United States,North America,2009,Land Use,CO2,43.638
Mexico,North America,2013,Waste,CH4,15.182
China,Asia,2018,Waste,SF6,10.33
United Kingdom,Europe,2019,Manufacturing,N2O,3.902
France,Europe,2011,Land Use,N2O,1.188
Mexico,North America,2002,Waste,SF6,0.253
United Kingdom,Europe,2023,Industrial Processes,HFCs,0.609
Australia,Oceania,2018,Land Use,HFCs,0.645
United Kingdom,Europe,2018,Manufacturing,N2O,3.941
Australia,Oceania,2014,Manufacturing,CH4,5.172
Mexico,North America,2022,Agriculture,N2O,23.157
Canada,North America,2021,Energy,HFCs,7.632
United Kingdom,Europe,2006,Waste,SF6,0.11
South Africa,Africa,2014,Energy,SF6,5.171
China,Asia,2011,Waste,HFCs,7.357
South Korea,Asia,2009,Industrial Processes,SF6,2.091
Canada,North America,2020,Energy,SF6,4.314
Canada,North America,2002,Manufacturing,HFCs,7.852
South Africa,Africa,2003,Agriculture,CO2,6.434
Canada,North America,2010,Industrial Processes,SF6,2.168
Russia,Europe,2008,Transport,HFCs,10.828
South Africa,Africa,2016,Energy,SF6,4.741
South Korea,Asia,2015,Buildings,CO2,51.008
South Korea,Asia,2009,Transport,N2O,10.339
Canada,North America,2017,,SF6,3.562
Germany,Europe,2006,Buildings,CH4,14.707
India,Asia,2012,Agriculture,N2O,316.593
India,Asia,2005,Transport,HFCs,24.701
South Africa,Africa,2001,Manufacturing,CO2,43.027
United States,North America,2011,Agriculture,CH4,249.404
Brazil,South America,2000,Agriculture,HFCs,
India,Asia,2009,Industrial Processes,SF6,13.26
United Kingdom,Europe,2006,Energy,CH4,23.351
United Kingdom,Europe,2000,Manufacturing,HFCs,6.524
Australia,Oceania,2004,Waste,CH4,12.387
South Korea,Asia,2009,Land Use,N2O,2.536
France,Europe,2000,Energy,CH4,21.638
Germany,Europe,2018,Buildings,CO2,49.961
South Korea,Asia,2013,Industrial Processes,SF6,2.235
France,Europe,2019,Manufacturing,N2O,1.411
Mexico,North America,2017,Transport,CO2,101.309
Russia,Europe,2005,Transport,N2O,25.444
Japan,Asia,2011,Waste,N2O,-5.646
Russia,Europe,2001,Manufacturing,N2O,36.373
China,Asia,2008,Industrial Processes,N2O,41.621
Mexico,North America,2001,Transport,CO2,94.447
,Asia,2021,Energy,CO2,274.344
Germany,Europe,2019,Land Use,CO2,2.047
China,Asia,2006.0,Land Use,HFCs,21.584
Russia,Europe,2003,Energy,CO2,641.599
Brazil,South America,2020,Industrial Processes,CO2,4.256
South Africa,Africa,2013,Land Use,SF6,0.108
,Europe,2020,Waste,CO2,1.596
South Africa,Africa,2002,Manufacturing,N2O,7.113
Russia,Europe,2023,Industrial Processes,HFCs,4.99
Canada,North America,2010,Land Use,CO2,5.953
Russia,Europe,2003,Manufacturing,CO2,225.743
Indonesia,Asia,2012,Land Use,N2O,78.411
Russia,Europe,2015,Buildings,CH4,21.047
United States,North America,2010,Transport,HFCs,57.66
Canada,North America,2003,Agriculture,HFCs,3.088
Canada,North America,2022,Agriculture,SF6,0.644
Germany,Europe,2011,Waste,HFCs,0.27
Japan,Asia,2014,Agriculture,CH4,21.749
United Kingdom,Europe,2017,Transport,SF6,0.717
France,Europe,2002,Manufacturing,CH4,2.003
Germany,Europe,2019,Industrial Processes,HFCs,2.835
India,Asia,2019,Land Use,SF6,1.858
China,Asia,2020,Waste,HFCs,10.576
France,Europe,2022,Manufacturing,CO2,8.569
Germany,Europe,2002,Agriculture,CH4,36.092
United Kingdom,Europe,2016,Agriculture,N2O,8.341
Brazil,South America,2002,Energy,HFCs,4.556
United Kingdom,Europe,2002,,CH4,7.087
China,Asia,2000.0,Manufacturing,SF6,120.825
South Africa,Africa,2018,Manufacturing,CO2,50.66
Japan,Asia,2022,Industrial Processes,SF6,1.302
France,Europe,2022,Waste,N2O,1.566
South Korea,Asia,2006,Land Use,HFCs,0.264
Brazil,South America,2011,Agriculture,CO2,-29.457
Germany,Europe,2000,Buildings,CO2,70.583
China,Asia,2009,Waste,N2O,114.198
Indonesia,Asia,2006,Manufacturing,CH4,6.98
France,Europe,2000,Manufacturing,CO2,14.526
South Korea,Asia,2009,Transport,SF6,1.053
United States,North America,2014,Agriculture,SF6,4.626
Germany,Europe,2007.0,Energy,HFCs,
Mexico,North America,2001,Manufacturing,CO2,44.683
India,Asia,2012,Industrial Processes,SF6,14.988
United Kingdom,Europe,2022.0,Buildings,SF6,0.459
United States,North America,2006,Manufacturing,N2O,69.744
United Kingdom,Europe,2000,Land Use,SF6,0.1
South Africa,Africa,2002,Manufacturing,CH4,6.651
Mexico,North America,2004,Buildings,SF6,0.446
India,Asia,2014,Energy,HFCs,44.915
United States,North America,2004,Energy,CH4,395.761
India,Asia,2009,Transport,CH4,33.756
Canada,North America,2010.0,Agriculture,SF6,0.712
Mexico,North America,2007,Waste,CO2,5.392
,Asia,2016,Buildings,HFCs,11.488
Canada,North America,2012,Transport,CO2,134.093
France,Europe,2004,Transport,N2O,11.634
United Kingdom,Europe,2000,Transport,CO2,97.702
Indonesia,Asia,2000,Transport,SF6,0.989
France,Europe,2005,Energy,CH4,18.138
Indonesia,Asia,2016,Industrial Processes,CO2,5.301
Mexico,North America,2011,Waste,SF6,0.25
Brazil,South America,2005,Waste,N2O,7.21
Germany,Europe,2000,Energy,SF6,4.54
Mexico,North America,2001,Industrial Processes,N2O,0.495
Indonesia,Asia,2022,Manufacturing,CH4,10.334
India,Asia,2013,Land Use,CH4,35.281
Canada,North America,2020,Buildings,CH4,
Mexico,North America,2017,Energy,N2O,8.586
South Africa,Africa,2008,Manufacturing,CO2,48.641
Australia,Oceania,2000,Land Use,SF6,0.139
Australia,Oceania,2014,Agriculture,N2O,22.96
Canada,North America,2000,Industrial Processes,CH4,0.79
United States,North America,2013,Agriculture,CH4,255.338
Brazil,South America,2008,Land Use,HFCs,9.661
Germany,Europe,2009,Energy,N2O,8.841
France,Europe,2022,Agriculture,N2O,14.053
Germany,Europe,2012,Manufacturing,HFCs,12.321
France,Europe,2012,Agriculture,N2O,18.689
South Africa,Africa,2012,Transport,SF6,0.62
South Africa,Africa,2012,Industrial Processes,CO2,2.369
Indonesia,Asia,2006.0,Buildings,N2O,0.96
Brazil,South America,2004,Buildings,N2O,0.858
Mexico,North America,2022,Manufacturing,CO2,54.953
Germany,Europe,2014,Agriculture,CH4,27.477
United Kingdom,Europe,2001,Manufacturing,SF6,3.227
China,Asia,2022,Buildings,N2O,179.93
Australia,Oceania,2000,Agriculture,SF6,0.784
South Korea,Asia,2011,Energy,CH4,54.702
France,Europe,2001,Energy,CH4,18.873
Mexico,North America,2003,Waste,HFCs,0.25
China,Asia,2005,Manufacturing,HFCs,311.445
Germany,Europe,2021,Waste,HFCs,0.229
South Africa,Africa,2021,Buildings,CO2,12.57
South Africa,Africa,2021,Manufacturing,HFCs,7.762
Brazil,South America,2007,Agriculture,HFCs,11.226
China,Asia,2018,Manufacturing,CH4,497.739
South Africa,Africa,2000,Energy,HFCs,7.194
China,Asia,2008,Transport,N2O,208.955
United States,North America,2001,Agriculture,CO2,51.075
South Africa,Africa,2001.0,Waste,CH4,14.592
United States,North America,2014,Agriculture,HFCs,18.082
Australia,Oceania,2005,Transport,CH4,4.86
Mexico,North America,2007,Industrial Processes,N2O,0.513
United States,North America,2020,Industrial Processes,SF6,6.311
Canada,North America,2004,Waste,CH4,16.883
United Kingdom,Europe,2022,Buildings,N2O,4.551
Brazil,South America,2002,Buildings,CO2,5.448
Indonesia,Asia,2004,Industrial Processes,CH4,0.412
Japan,Asia,2002,Buildings,N2O,11.008
South Africa,Africa,2011,Buildings,SF6,0.203
Canada,North America,2013,Manufacturing,HFCs,7.275
France,Europe,2021,Energy,HFCs,2.121
United Kingdom,Europe,2013,Land Use,HFCs,0.12
Russia,Europe,2016,Waste,CH4,32.02
Canada,North America,2001,Manufacturing,,3.465
Japan,Asia,2015,Buildings,CH4,14.561
Indonesia,Asia,2020,Waste,N2O,11.481
Mexico,North America,2017,Land Use,CO2,7.19
China,Asia,2001,Transport,N2O,156.501
Indonesia,Asia,2018,Industrial Processes,SF6,1.838
China,Asia,2022,Waste,,207.894
,Europe,2012,Industrial Processes,SF6,0.532
Australia,Oceania,2003,Energy,CH4,41.344
Brazil,South America,2020,Energy,N2O,8.387
India,Asia,2021,Industrial Processes,HFCs,40.367
Canada,North America,2006,Land Use,CH4,2.79
China,Asia,2015,Transport,HFCs,108.116
South Korea,Asia,2004,Waste,CO2,4.453
Germany,Europe,2023,Land Use,CH4,1.078
Russia,Europe,2010,Manufacturing,CO2,211.327
Indonesia,Asia,2023,Agriculture,CH4,146.057
Australia,Oceania,2022,Manufacturing,HFCs,4.835
India,Asia,2022,Buildings,CO2,430.327
Mexico,North America,2005,Industrial Processes,HFCs,1.304
France,Europe,2000,Transport,SF6,1.278
United States,North America,2012,Transport,SF6,15.328
Indonesia,Asia,2011,Agriculture,SF6,1.786
China,Asia,2004,Waste,HFCs,5.877
Russia,Europe,2011,Land Use,CH4,7.647
South Africa,Africa,2004,Industrial Processes,,0.757
South Korea,Asia,2018,Energy,HFCs,8.977
France,Europe,2023,Energy,N2O,3.35
Mexico,North America,2013,Land Use,HFCs,
India,Asia,2003,Agriculture,SF6,8.196
France,Europe,2002,Buildings,CH4,10.145
South Africa,Africa,2001,Transport,CO2,49.952
United States,North America,2007.0,Buildings,,114.244
South Korea,Asia,2015,Manufacturing,HFCs,21.037
Canada,North America,2000,Land Use,CO2,5.796
Canada,North America,2014,Energy,SF6,4.665
,South America,2003,Land Use,N2O,83.371
Australia,Oceania,2020,Buildings,SF6,0.356
,South America,2008,Transport,CH4,6.993
United States,North America,2002,Buildings,CH4,123.553
France,Europe,2007,Buildings,CO2,42.817
Russia,Europe,2004,Transport,CO2,228.568
France,Europe,2015,Agriculture,N2O,18.497
India,Asia,2006,Buildings,HFCs,52.51
Canada,North America,2019,Industrial Processes,HFCs,3.566
Indonesia,Asia,2016,Buildings,CO2,6.872
China,Asia,2009,Agriculture,HFCs,55.084
Indonesia,Asia,2009,Waste,CH4,29.436
South Korea,Asia,2001,Transport,SF6,1.063
China,Asia,2022,Energy,SF6,149.019
Russia,Europe,2002,Industrial Processes,CH4,0.94
South Korea,Asia,2023,Waste,N2O,5.23
Australia,Oceania,2009,Industrial Processes,CH4,0.448
South Africa,Africa,2006,Energy,SF6,4.968
South Africa,Africa,2017,Waste,CO2,-5.339
United Kingdom,Europe,2012,Transport,N2O,
Indonesia,Asia,2018,Waste,SF6,0.586
Indonesia,Asia,2003,Land Use,N2O,57.729
China,Asia,2007,Transport,CH4,98.152
United States,North America,2013.0,Energy,N2O,84.842
Germany,Europe,2015,Energy,N2O,8.472
India,Asia,2012,Transport,CH4,36.219
United States,North America,2002,Agriculture,HFCs,22.182
United Kingdom,Europe,2014,Agriculture,CO2,3.167
France,Europe,2010,Manufacturing,CH4,1.874
South Korea,Asia,2016,Land Use,CH4,1.531
South Africa,Africa,2014,Agriculture,SF6,0.694
Indonesia,Asia,2011,Land Use,CH4,39.673
Germany,Europe,2002,Energy,CH4,45.363
Mexico,North America,2005,Agriculture,N2O,21.239
South Africa,Africa,2003,Agriculture,N2O,21.883
Russia,Europe,2012,Transport,CH4,13.125
Brazil,South America,2000,Land Use,N2O,84.615
South Africa,Africa,2012,Industrial Processes,SF6,0.746
Brazil,South America,2023,Agriculture,CO2,33.936
Japan,Asia,2006,Buildings,CH4,17.874
Mexico,North America,2014,Agriculture,SF6,0.716
Indonesia,Asia,2004,Energy,SF6,6.624
India,Asia,2013,Energy,N2O,79.845
Indonesia,Asia,2004,Transport,SF6,1.086
France,Europe,2005,Industrial Processes,HFCs,0.999
United States,North America,2015,Manufacturing,CO2,376.471
Russia,Europe,2014,Buildings,CH4,19.027
United States,North America,2009,Industrial Processes,HFCs,12.421
Japan,Asia,2017,Waste,HFCs,0.282
China,Asia,2000,Waste,N2O,90.205
Brazil,South America,2015,Waste,SF6,0.41
Russia,Europe,2012,Transport,SF6,2.785
France,Europe,2000,Manufacturing,N2O,2.235
Indonesia,Asia,2023,Land Use,SF6,2.905
Brazil,South America,2003,Energy,HFCs,5.372
United States,North America,2001,Industrial Processes,SF6,8.647
Germany,Europe,2011,Buildings,HFCs,12.729
France,Europe,2013,Transport,N2O,10.045
Japan,Asia,2004,Buildings,SF6,1.153
South Korea,Asia,2018,Industrial Processes,N2O,1.57
Russia,Europe,2003,Agriculture,CH4,105.309
Indonesia,Asia,2001,Transport,CO2,75.74
Russia,Europe,2011,Industrial Processes,CO2,8.118
Australia,Oceania,2002,Industrial Processes,SF6,1.504
Russia,Europe,2010,Agriculture,,18.063
Germany,Europe,2001,Manufacturing,HFCs,15.781
Japan,Asia,2001.0,Agriculture,CH4,25.589
China,Asia,2018,Manufacturing,CO2,3490.628
India,Asia,2017,Buildings,N2O,55.934
South Africa,Africa,2013,Energy,CO2,165.844
Indonesia,Asia,2019,Land Use,CO2,104.188
,Asia,2007,Manufacturing,HFCs,23.957
Germany,Europe,2013,Buildings,N2O,8.715
China,Asia,2009,Waste,CO2,140.288
Russia,Europe,2003,Industrial Processes,CO2,8.6
Germany,Europe,2022,Waste,CH4,11.7
Japan,Asia,2021,Transport,CH4,8.952
China,Asia,2007,Land Use,CH4,98.174
,Asia,2007,Buildings,N2O,0.941
Australia,Oceania,2003,Buildings,CH4,5.584
Russia,Europe,2012,Manufacturing,HFCs,32.438
China,Asia,2023,Transport,N2O,372.17
Canada,North America,2008,Waste,CO2,5.857
United Kingdom,Europe,2002,Manufacturing,CH4,5.731
Indonesia,Asia,2001,Transport,,4.529
Brazil,South America,2018,Energy,N2O,9.533
Indonesia,Asia,2013,Waste,N2O,10.683
United Kingdom,Europe,2019,Land Use,HFCs,0.112
France,Europe,2003,Agriculture,CO2,7.417
Brazil,South America,2014,Waste,N2O,7.801
Germany,Europe,2004,Agriculture,HFCs,2.526
Canada,North America,2007,Energy,CH4,48.149
Australia,Oceania,2001,Waste,SF6,0.208
Indonesia,Asia,2002,Energy,HFCs,9.257
Canada,North America,2014,Waste,CH4,17.674
Russia,Europe,2012,Waste,N2O,10.513
France,Europe,2011,Waste,HFCs,0.109
China,Asia,2008,Land Use,,20.716
South Korea,Asia,2007,Transport,CO2,85.41
United Kingdom,Europe,2014,Buildings,SF6,
Australia,Oceania,2002,Land Use,HFCs,0.571
India,Asia,2004,Transport,N2O,57.639
Brazil,South America,2021,Agriculture,CH4,190.285
United States,North America,2023,Transport,SF6,14.382
United Kingdom,Europe,2020,Buildings,CO2,24.44
India,Asia,2002,Manufacturing,SF6,34.628
United States,North America,2013,Agriculture,HFCs,17.66
China,Asia,2000,Agriculture,SF6,9.491
Japan,Asia,2014,Manufacturing,CH4,22.568
United Kingdom,Europe,2023,Buildings,CO2,24.018
China,Asia,2013,Agriculture,HFCs,67.194
Mexico,North America,2018,Energy,HFCs,5.436
Russia,Europe,2016,Waste,N2O,10.268
Indonesia,Asia,2021,Buildings,CO2,8.134
India,Asia,2007,Land Use,N2O,49.77
South Korea,Asia,2005,Transport,CH4,5.342
Germany,Europe,2000,Manufacturing,CO2,96.958
Mexico,North America,2019,Manufacturing,N2O,7.92
Canada,North America,2019,Manufacturing,CO2,41.331
Canada,North America,2007,Manufacturing,SF6,3.764
Germany,Europe,2021,Industrial Processes,CH4,0.553
South Korea,Asia,2007,Manufacturing,CO2,124.021
Japan,Asia,2022,Industrial Processes,CO2,4.009
Australia,Oceania,2009,Industrial Processes,HFCs,2.483
Australia,Oceania,2006,Manufacturing,N2O,5.124
